index,s1-ds-query,s2-ds-query,esa-glc-ds-query,corine-lc-ds-query,water-bodies-ds-query,ndvi,evi,savi,ndwi,cya_cells,cdom,doc,sar-water-mask,clip,reproject,summarize-class-statistics,defra-calibrate,stac-join,water-quality,thumbnail
s1-ds-query,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes
s2-ds-query,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes
esa-glc-ds-query,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes
corine-lc-ds-query,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes
water-bodies-ds-query,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes
ndvi,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes
evi,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
savi,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
ndwi,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
cya_cells,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes
cdom,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes
doc,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes
sar-water-mask,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
clip,no,no,no,no,no,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,yes,yes,maybe,maybe,yes,maybe,yes
reproject,no,no,no,no,no,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,yes,yes,maybe,maybe,yes,maybe,yes
summarize-class-statistics,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes
defra-calibrate,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes
stac-join,no,no,no,no,no,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,yes,yes,maybe,maybe,yes,maybe,yes
water-quality,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes
thumbnail,no,no,no,no,no,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,yes,yes,maybe,maybe,yes,maybe,yes
